TrainingDataset	HumanGeneID	MouseOrthologGeneID	Symbol	Synonyms	Description	EnsemblGeneID	ProteinLength	TargetP_Score	MitoDomain_Score	CoexpressionGnfN50_Score	PGC_Induction_Score	YeastMitoHomolog_Score	RickettsiaHomolog_Score	MSMS_Score	MCARTA2.0_score	MCARTA2_FDR	MCARTA2_LIST	MCARTA2_EVIDENCE	hg19_Chromosome	hg19_Start	hg19_Stop	MSMS_NUM_TISSUES	MSMS_NUM_PEPTIDES_UNIQUE	MSMS_NUM_SPECTRA	MSMS_TOTAL_INTENSITY	MSMS_PERCENT_COVERAGE	Tissues	cerebrum_total_peak_intensity_log10	cerebellum_total_peak_intensity_log10	brainstem_total_peak_intensity_log10	spinalcord_total_peak_intensity_log10	kidney_total_peak_intensity_log10	liver_total_peak_intensity_log10	heart_total_peak_intensity_log10	skeletalmuscle_total_peak_intensity_log10	adipose_total_peak_intensity_log10	smallintestine_total_peak_intensity_log10	largeintestine_total_peak_intensity_log10	stomach_total_peak_intensity_log10	placenta_total_peak_intensity_log10	testis_total_peak_intensity_log10	HPA_PrimarySubcellularLocalization_2015
Tmito	51204	70207	TACO1	CCDC44|Q9BSH4	translational activator of mitochondrially encoded cytochrome c oxidase I	ENSG00000136463	297	1	MitoDomain	NA		HomologMitoHighConf	Ortholog	50-75pure	26.649	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, MS/MS++"	chr17	61678230	61685725	14	23	252	8.09E+09	68	all 14	9	8.9	9.1	8.8	8.4	9	8.7	8.4	8.2	8.3	8.8	8.5	8.7	8.3	"Mitochondria (APE, Supportive)"
Tmito	55669	67414	MFN1	hfzo1|hfzo2|Q8IWA4	mitofusin 1	ENSG00000171109	741		MitoDomain	20	2.39	OrthologMitoHighConf	NoHomolog	25-50pure	26.5613	0	1	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+"	chr3	179065479	179111008	10	25	99	8.98E+08	39	"cerebellum, brainstem, spinalcord, kidney, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis"		8	8	7.4	7.9			7.9	7.5		8.2	7	7.7	8.4	
Tmito	160760	320717	PPTC7	TA-PP2C|TAPP2C|Q8NI37	PTC7 protein phosphatase homolog (S. cerevisiae)	ENSG00000196850	304	5	MitoDomain	21	3.53	HomologMitoHighConf	NoHomolog	50-75pure	26.5342	0	1	"APEX_matrix, yeast mito homolog, mito protein domain+, induction, coexpression, MS/MS++"	chr12	110972236	111021064	9	11	70	8.94E+08	50	"cerebrum, cerebellum, brainstem, spinalcord, heart, skeletalmuscle, largeintestine, placenta, testis"	7.9	7.8	7.7	8.1			7.6	7.4			7.6		7.9	8.6	"Plasma membrane;Cytoplasm (APE, Uncertain)"
Tmito	65003	66419	MRPL11	L11MT|MRP-L11|Q9Y3B7	mitochondrial ribosomal protein L11	ENSG00000174547	192	3	SharedDomain	38		OrthologMitoHighConf	Ortholog	75-100ambig	26.5037	0	1	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression+, MS/MS+"	chr11	66202549	66206310	14	17	211	5.16E+09	77	all 14	8.6	8.4	8.5	8.3	8.3	8.4	8	7.7	8.6	8.5	9.2	8	8.8	8.5	
Tmito	1327	12857	COX4I1	COX4|COX4-1|COXIV|P13073	cytochrome c oxidase subunit IV isoform 1	ENSG00000131143	169	2	MitoDomain	48		NoMitoHomolog	NoHomolog	75-100pure	26.466	0	1	"literature, APEX_IMS, APEX_matrix, targetP signal, mito protein domain+, coexpression++, MS/MS++"	chr16	85833172	85840607	14	26	1801	3.76E+11	79	all 14	10.4	10.3	10.6	10.3	10.8	10.3	10.5	9.8	10.1	10.4	10.6	10.5	10.3	10.5	"Nucleus;Mitochondria (APE, Supportive)"
Tmito	4726	407785	NDUFS6	CI-13kA|CI-13kD-A|CI13KDA|O75380	"NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)"	ENSG00000145494	124	2	MitoDomain	44		NoMitoHomolog	NoHomolog	75-100pure	26.466	0	1	"literature, APEX_matrix, targetP signal, mito protein domain+, coexpression++, MS/MS++"	chr5	1801495	1816167	14	13	575	2.87E+10	91	all 14	9.4	9.2	9.6	9.1	9.7	9.3	8.6	8.8	9.4	9.5	9.3	9.2	9.2	9	
Tmito	28998	68537	MRPL13	L13|L13A|L13mt|RPL13|RPML13|Q9BYD1	mitochondrial ribosomal protein L13	ENSG00000172172	178	3	SharedDomain	17	1.14	HomologMitoHighConf	Ortholog	75-100pure	26.3504	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++"	chr8	121408082	121457647	14	15	262	6.22E+09	85	all 14	8.7	8.5	8.8	8.2	8.8	8.6	8.1	7.7	8.6	8.5	9.2	8.1	8.8	8.5	
Tmito	5019	67041	OXCT1	OXCT|SCOT|P55809	3-oxoacid CoA transferase 1	ENSG00000083720	520	2	SharedDomain	43	2.92	NoMitoHomolog	NoHomolog	75-100pure	26.3333	0	1	"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression++, MS/MS++"	chr5	41730166	41870791	13	43	3227	1.31E+11	77	"cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"	9.9	9.5	9.4	9.2	10.4		10.3	9	10.2	10.1	9.7	10.5	9.9	8.6	"Mitochondria (APE, Supportive)"
Tmito	1329	12859	COX5B	COXVB|P10606	cytochrome c oxidase subunit Vb	ENSG00000135940	129	1	MitoDomain	NA		OrthologMitoHighConf	NoHomolog	50-75pure	26.3322	0	1	"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, MS/MS++"	chr2	98262520	98264657	14	10	1498	1.30E+11	62	all 14	9.9	9.6	10.1	9.6	10.2	10	9.9	9.3	9.8	10.1	10.1	10	10	10.2	"Mitochondria (APE, Supportive)"
Tmito	5164	18604	PDK2	PDHK2|PDKII|Q15119	"pyruvate dehydrogenase kinase, isozyme 2"	ENSG00000005882	407	5	MitoDomain	8	0.58	OrthologMitoLowConf	NoHomolog	75-100pure	26.3227	0	1	"literature, APEX_matrix, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++"	chr17	48172100	48188733	14	24	222	5.39E+09	77	all 14	8.5	7.9	8.1	8.4	8.6	8.1	8.8	9	8.9	9	8.5	8.4	6.9	8.2	"Nucleus but not nucleoli;Mitochondria (APE, Supportive)"
Tmito	211	11655	ALAS1	ALAS|ALAS3|ALASH|MIG4|P13196	"aminolevulinate, delta-, synthase 1"	ENSG00000023330	640	3	MitoDomain	12	1.93	OrthologMitoLowConf	Homolog	0-25pure	26.3146	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS"	chr3	52232098	52248343	5	11	27	1.81E+08	17	"liver, heart, adipose, largeintestine, placenta"						8.1	6.6		7.5		6.3		7.2		"Mitochondria (APE, Supportive)"
Tmito	9553	66845	MRPL33	C2orf1|L33mt|MRP-L33|RPL33L|O75394	mitochondrial ribosomal protein L33	ENSG00000243147	65	4	SharedDomain	14	-0.26	OrthologMitoHighConf	Ortholog	50-75pure	26.309	0	1	"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	chr2	27994583	28002608	11	9	81	5.19E+08	58	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, stomach, placenta, testis"	7.8	7.6	7.7	6.3	7.4	7.9			7.2	7.7		7.1	8	7.9	
Tmito	25821	68291	MTO1	COXPD10|Q9Y2Z2	mitochondrial tRNA translation optimization 1	ENSG00000135297	732	2	SharedDomain	46		OrthologMitoHighConf	Ortholog	0-25ambig	26.3081	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++"	chr6	74171453	74211179	4	2	11	4.21E+07	5	"cerebellum, spinalcord, stomach, placenta"		7.1		7								6.9	7		"Nucleus but not nucleoli (APE, Uncertain)"
Tmito	11019	79464	LIAS	LAS|LIP1|LS|PDHLD|O43766	lipoic acid synthetase	ENSG00000121897	372	3	SharedDomain	41	1.49	HomologMitoHighConf	Ortholog	25-50ambig	26.2921	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS"	chr4	39460643	39479271	5	11	27	5.55E+08	39	"brainstem, skeletalmuscle, adipose, largeintestine, placenta"			7.6					7.1	8.2		7.6		8.5		"Nucleus but not nucleoli (APE, Uncertain)"
Tmito	4698	68202	NDUFA5	B13|CI-13KD-B|CI-13kB|NUFM|UQOR13|Q16718	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5"	ENSG00000128609	116		MitoDomain	46	1.96	NoMitoHomolog	NoHomolog	75-100pure	26.2914	0	1	"literature, APEX_matrix, mito protein domain+, induction, coexpression++, MS/MS++"	chr7	123181082	123197958	14	19	1396	7.49E+10	92	all 14	9.9	9.7	10	9.5	10.1	9.7	9.6	9.3	9.6	9.7	9.7	9.7	9.4	9.4	
Tmito	4712	230075	NDUFB6	B17|CI|O95139	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa"	ENSG00000165264	128		MitoDomain	49	1.72	NoMitoHomolog	NoHomolog	75-100pure	26.2914	0	1	"literature, APEX_IMS, APEX_matrix, mito protein domain+, induction, coexpression++, MS/MS++"	chr9	32553523	32573182	14	19	962	7.79E+10	86	all 14	9.9	9.7	10	9.8	10.1	9.5	9.7	9.2	9.6	9.7	9.8	9.7	9.5	9.4	"Mitochondria (APE, Supportive)"
Tmito	10651	53375	MTX2	O75431	metaxin 2	ENSG00000128654	263		MitoDomain	48	2.05	NoMitoHomolog	NoHomolog	75-100pure	26.2914	0	1	"literature, mito protein domain+, induction, coexpression++, MS/MS++"	chr2	177134122	177202753	14	18	701	4.56E+10	81	all 14	9.9	9.7	9.8	9.3	9.6	9.3	9.6	8.4	9.3	8.9	9.4	9.1	9.5	9.6	
Tmito	8801	20917	SUCLG2	GBETA|Q96I99	"succinate-CoA ligase, GDP-forming, beta subunit"	ENSG00000172340	440	2	SharedDomain	27		OrthologMitoLowConf	Homolog	75-100pure	26.2777	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	chr3	67410883	67705038	14	40	1126	7.16E+10	76	all 14	8	8	8.2	8.6	10.3	10.1	9.1	8.6	9.5	9.9	10.1	9.8	9.4	9.6	"Mitochondria (APE, Supportive)"
Tmito	2230	14148	FDX1	ADX|FDX|LOH11CR1D|P10109	ferredoxin 1	ENSG00000137714	184	2	SharedDomain	10	5.12	OrthologMitoLowConf	Homolog	25-50pure	26.2764	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS+"	chr11	110300660	110335608	14	11	279	1.18E+10	44	all 14	7.6	7.6	8	7.5	9.2	9.6	7.8	7.6	8.8	8.8	8.6	8	9.1	9.5	"Mitochondria (APE, Supportive)"
Tmito	6576	13358	SLC25A1	CTP|D2L2AD|SEA|SLC20A3|P53007	"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1"	ENSG00000100075	318	4	MitoDomain	18	-0.26	OrthologMitoHighConf	NoHomolog	50-75pure	26.2493	0	1	"literature, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++"	chr22	19163087	19166376	12	23	652	5.30E+10	67	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"	8.9	8.4	9.1	9.5	9.1	9.5			10.4	9.6	9.3	8.7	9.7	9.8	
Tmito	28957	66230	MRPS28	MRP-S28|MRP-S35|MRPS35|Q9Y2Q9	mitochondrial ribosomal protein S28	ENSG00000147586	187	2	MitoDomain	40	0.41	NoMitoHomolog	NoHomolog	50-75pure	26.2202	0	1	"literature, targetP signal, mito protein domain+, coexpression++, MS/MS++"	chr8	80831094	80942506	14	14	266	4.56E+09	69	all 14	8.6	8.5	8.7	8.3	8.6	8.4	7.7	7.8	8.5	8.5	9	8.1	8.5	8.2	"Mitochondria (APE, Supportive)"
Tmito	92609	66525	TIMM50	TIM50|TIM50L|Q3ZCQ8	translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)	ENSG00000105197	456	5	SharedDomain	43		OrthologMitoHighConf	NoHomolog	50-75pure	26.1481	0	1	"literature, APEX_IMS, yeast mito homolog++, mito protein domain, coexpression++, MS/MS++"	chr19	39971051	39981528	14	20	372	1.50E+10	60	all 14	8.4	8.9	9	8.2	9.4	8.7	8.9	8.8	9.4	8.7	9	8.5	9.4	9.2	"Nucleus but not nucleoli;Mitochondria (APE, Supportive)"
Tmito	7417	22334	VDAC2	POR|P45880	voltage-dependent anion channel 2	ENSG00000165637	309		MitoDomain	17	2.08	OrthologMitoLowConf	NoHomolog	50-75pure	26.1221	0	1	"literature, APEX_IMS, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++"	chr10	76969911	76991207	14	18	2296	1.78E+11	71	all 14	10.3	9.8	10.3	10	10	9.3	10.1	9.4	10	10.4	10.2	9.9	10.3	10.3	"Mitochondria (APE, Supportive)"
Tmito	284439	73095	SLC25A42	Q86VD7	"solute carrier family 25, member 42"	ENSG00000181035	318		MitoDomain	28	1.34	OrthologMitoLowConf	NoHomolog	50-75pure	26.1091	0	1	"literature, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++"	chr19	19174802	19223841	14	17	122	4.02E+09	61	all 14	8	7.6	7.6	8.3	9.1	9	8.8	7.5	8.2	7.6	7.9	7.6	7.9	8.2	"Mitochondria (APE, Supportive)"
Tmito	54543	66169	TOMM7	TOM7|Q9P0U1	translocase of outer mitochondrial membrane 7 homolog (yeast)	ENSG00000196683	55	5	MitoDomain	12		OrthologMitoHighConf	NoHomolog	75-100pure	26.0896	0	1	"literature, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++"	chr7	22852250	22862471	11	8	70	2.90E+09	93	"cerebrum, cerebellum, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, stomach, placenta, testis"	8.6	8.1		7.9	7.8	8.4		7.7	8.2	8.1		7.7	9	8.8	
Tmito	1891	51798	ECH1	HPXEL|Q13011	"enoyl CoA hydratase 1, peroxisomal"	ENSG00000104823	328	1	SharedDomain	39		OrthologMitoLowConf	NoHomolog	50-75pure	25.9632	0	1	"APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, coexpression+, MS/MS++"	chr19	39306061	39322497	14	22	796	4.14E+10	61	all 14	8.4	7.5	8.2	8.2	9.5	9.7	10.2	7.4	9.8	9.3	9.4	8.9	9.5	9.2	
Tmito	5188	229487	PET112	PET112L|O75879	PET112 homolog (yeast)	ENSG00000059691	557	2	MitoDomain	35		HomologMitoHighConf	Ortholog	25-50ambig	25.9072	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS"	chr4	152591808	152682175	5	12	19	7.41E+07	31	"cerebrum, skeletalmuscle, adipose, stomach, testis"	7.3							7.3	7.3			6.7		7	"Mitochondria (APE, Supportive)"
Tmito	617	66821	BCS1L	BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS|Q9Y276	BC1 (ubiquinol-cytochrome c reductase) synthesis-like	ENSG00000074582	419		MitoDomain	37		OrthologMitoHighConf	Homolog	25-50pure	25.7776	0	1	"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS+"	chr2	219524378	219528166	13	14	106	1.87E+09	45	"cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"	8.3	7.8	8	8.5		8.1	7.8	7.8	8.5	7.8	8.2	8.1	8.3	8.1	"Vesicles (APE, Uncertain)"
Tmito	26284	57837	ERAL1	ERA|ERAL1A|H-ERA|HERA-A|HERA-B|O75616	Era-like 12S mitochondrial rRNA chaperone 1	ENSG00000132591	437	1	SharedDomain	43	0.53	OrthologMitoLowConf	Homolog		25.6968	0	1	"APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression++"	chr17	27182042	27188072																					"Mitochondria (APE, Supportive)"
Tmito	152100	67899	CMC1	C3orf68|Q7Z7K0	C-x(9)-C motif containing 1	ENSG00000187118	106		MitoDomain	27	0.72	OrthologMitoHighConf	NoHomolog	75-100ambig	25.5981	0	1	"APEX_IMS, GFP, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+"	chr3	28283123	28361263	12	11	76	2.18E+09	76	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"	8.2	7.9	8.6	7.9	8.6	8			8.1	8.2	8.3	8.1	8.4	7.8	
Tmito	10573	68611	MRPL28	MAAT1|p15|Q13084	mitochondrial ribosomal protein L28	ENSG00000086504	256	5	NA	28		OrthologMitoHighConf	Ortholog	75-100pure	25.5595	0	1	"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, coexpression, MS/MS++"	chr16	417383	420569	12	27	158	2.91E+09	89	"cerebrum, cerebellum, brainstem, spinalcord, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"	7.8	7.6	7.9	7.9		8	7.7		8.5	8.5	8.8	7.7	8.9	8.4	"Mitochondria (APE, Supportive)"
Tmito	10102	66399	TSFM	EFTS|EFTSMT|P43897	"Ts translation elongation factor, mitochondrial"	ENSG00000123297	346	1	SharedDomain	15	1.47	NoMitoHomolog	Ortholog	50-75pure	25.5449	0	1	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++"	chr12	58176527	58196639	13	20	204	5.65E+09	70	"cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"	8.2	7.7	8.2	8.6		8.1	8.3	7.4	8.7	8.6	9.1	8.4	9.1	8.9	"Mitochondria (APE, Supportive)"
Tmito	2395	14297	FXN	CyaY|FA|FARR|FRDA|X25|Q16595	frataxin	ENSG00000165060	210	2	SharedDomain	15		OrthologMitoHighConf	Ortholog	25-50pure	25.5447	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+"	chr9	71650478	71715094	14	6	116	3.35E+09	29	all 14	8	8	8.5	7.9	8.9	8.8	8.1	7.9	7.8	8.2	8.3	7.9	8.4	8.7	
Tmito	27247	56748	NFU1	HIRIP|HIRIP5|MMDS1|NIFUC|Nfu|NifU|Q9UMS0	NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae)	ENSG00000169599	254	2	SharedDomain	11		OrthologMitoHighConf	Ortholog	25-50pure	25.5447	0	1	"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+"	chr2	69623244	69664760	14	8	197	1.03E+10	45	all 14	9.3	9.1	9.1	8.9	8.9	8.7	8.6	7.6	8.9	8.3	9	8.2	8.9	8.7	"Cytoplasm (APE, Supportive)"
Tmito	51067	70120	YARS2	MLASA2|MT-TYRRS|TYRRS|Q9Y2Z4	"tyrosyl-tRNA synthetase 2, mitochondrial"	ENSG00000139131	477	2	SharedDomain	14		OrthologMitoHighConf	Ortholog	25-50pure	25.5447	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+"	chr12	32899477	32908887	9	15	49	5.69E+08	38	"brainstem, spinalcord, kidney, adipose, smallintestine, largeintestine, stomach, placenta, testis"			7.7	7.8	7.9				7.4	7.7	7.8	6.9	8.2	7.8	
Tmito	219927	353242	MRPL21	L21mt|MRP-L21|Q7Z2W9	mitochondrial ribosomal protein L21	ENSG00000197345	205	2	SharedDomain	13		OrthologMitoHighConf	Ortholog	25-50pure	25.5447	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+"	chr11	68658745	68671303	14	11	137	2.03E+09	50	all 14	8.4	8	8.2	7.5	7.9	8.2	8	7.3	7.9	7.8	8.8	7.8	8.4	7.9	"Nucleus but not nucleoli;Mitochondria (APE, Supportive)"
Tmito	8659	212647	ALDH4A1	ALDH4|P5CD|P5CDh|P30038	"aldehyde dehydrogenase 4 family, member A1"	ENSG00000159423	563	1	SharedDomain	11		OrthologMitoHighConf	NoHomolog	50-75pure	25.5079	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, coexpression, MS/MS++"	chr1	19197923	19229293	14	40	2218	1.67E+11	66	all 14	9.2	8.7	9.2	9.3	10.8	10.7	9.8	9.6	10	9.7	9.3	9.7	10	9.6	"Cytoplasm (APE, Uncertain)"
Tpossible_mito	84134	641376	TOMM40L	RP11-297K8.10|TOMM40B|Q969M1	translocase of outer mitochondrial membrane 40 homolog (yeast)-like	ENSG00000158882	308	3	MitoDomain	39	1.01	OrthologMitoLowConf	NoHomolog	25-50ambig	25.4413	0	1	"targetP signal, yeast mito homolog+, mito protein domain+, induction, coexpression+, MS/MS"	chr1	161195728	161200536	8	6	36	5.36E+08	28	"cerebrum, cerebellum, brainstem, spinalcord, adipose, largeintestine, stomach, testis"	8.3	8	7.6	8					7.7		7.5	7		7.3	
Tmito	51103	69702	NDUFAF1	CGI65|CIA30|Q9Y375	"NADH dehydrogenase (ubiquinone) complex I, assembly factor 1"	ENSG00000137806	327	2	SharedDomain	46	2.08	NoMitoHomolog	NoHomolog	50-75pure	25.4025	0	1	"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression++, MS/MS++"	chr15	41679546	41694658	10	20	71	1.01E+09	51	"cerebellum, brainstem, spinalcord, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"		7.2	7.5	8			7.4		8.5	7	8.4	7	8	8.1	"Cytoplasm (APE, Supportive)"
Tmito	4716	68342	NDUFB10	PDSW|O96000	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa"	ENSG00000140990	172		MitoDomain	48	2.29	NoMitoHomolog	NoHomolog	50-75pure	25.3606	0	1	"literature, APEX_matrix, mito protein domain+, induction, coexpression++, MS/MS++"	chr16	2009516	2011976	14	17	764	8.56E+10	74	all 14	10.2	10.1	10.1	9.8	9.6	9.4	10.1	9.2	9.5	9.4	9.6	9.5	9.6	9.4	
Tmito	36	66885	ACADSB	2-MEBCAD|ACAD7|SBCAD|P45954	"acyl-CoA dehydrogenase, short/branched chain"	ENSG00000196177	432	2	MitoDomain	28	0.57	NoMitoHomolog	NoHomolog	75-100pure	25.3309	0	1	"literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression, MS/MS++"	chr10	124768428	124817806	14	36	710	3.90E+10	75	all 14	8.6	8.4	8.6	8.8	9.5	9.3	9	8.8	9.8	8.5	8.5	10.3	9.5	9.3	"Mitochondria (APE, Supportive)"
Tmito	64965	69527	MRPS9	MRP-S9|RPMS9|S9mt|P82933	mitochondrial ribosomal protein S9	ENSG00000135972	396	3	SharedDomain	20	0.9	OrthologMitoHighConf	Homolog	50-75ambig	25.2372	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	chr2	105654482	105716418	14	28	236	5.74E+09	66	all 14	8.4	8.4	8.3	8.1	8.8	7.9	8	8.1	8.7	8.8	9	8.4	9.2	8.1	"Mitochondria (APE, Supportive)"
Tmito	56997	67426	ADCK3	ARCA2|CABC1|COQ10D4|COQ8|SCAR9|Q8NI60	aarF domain containing kinase 3	ENSG00000163050	647		SharedDomain	30	1.34	OrthologMitoLowConf	Homolog	50-75pure	25.1926	0	1	"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	chr1	227127937	227175246	14	31	266	1.16E+10	53	all 14	8	7.8	7.8	7.9	9.2	9.2	9.5	9.5	8.9	7.7	8.8	8.6	7.2	7.7	
Tmito	37	11370	ACADVL	ACAD6|LCACD|VLCAD|P49748	"acyl-CoA dehydrogenase, very long chain"	ENSG00000072778	678	1	MitoDomain	38		NoMitoHomolog	NoHomolog	75-100pure	25.1431	0	1	"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression+, MS/MS++"	chr17	7120443	7128586	14	64	3755	3.20E+11	90	all 14	9.2	8.9	9.4	9.4	10.6	10.6	10.8	10.6	10.5	10.3	10.5	10.4	9.8	9.9	"Nucleus;Mitochondria (APE, Supportive)"
Tmito	51117	227683	COQ4	CGI-92|Q9Y3A0	coenzyme Q4	ENSG00000167113	265	1	MitoDomain	7		OrthologMitoHighConf	NoHomolog	50-75ambig	25.0971	0	1	"literature, targetP signal+, yeast mito homolog++, mito protein domain+, coexpression, MS/MS"	chr9	131084790	131096351	11	18	101	1.71E+09	67	"cerebrum, cerebellum, brainstem, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta"	8	8.1	7.1		8.3	7.8		6.5	8.4	7.9	8.9	7.9	7.8		
Tmito	29088	27395	MRPL15	L15mt|MRP-L15|MRP-L7|RPML7|Q9P015	mitochondrial ribosomal protein L15	ENSG00000137547	296	4	SharedDomain	9	2.17	OrthologMitoHighConf	Ortholog	50-75ambig	25.0806	0	1	"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	chr8	55047780	55061074	12	22	118	3.16E+09	68	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"	8	7.6	7.3	8	8.3	7.5			8.4	8.4	9.1	7.4	8.9	8.4	
Tmito	4695	17991	NDUFA2	B8|CD14|CIB8|O43678	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa"	ENSG00000131495	99	2	SharedDomain	43	0.57	NoMitoHomolog	NoHomolog	75-100pure	25.0692	0	1	"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression++, MS/MS++"	chr5	140024947	140027370	14	15	729	5.90E+10	88	all 14	9.8	9.6	9.8	9.4	9.9	9.4	9.6	8.7	9.5	9.7	9.7	9.9	9.2	9.1	
Tmito	79590	67707	MRPL24	L24mt|MRP-L18|MRP-L24|Q96A35	mitochondrial ribosomal protein L24	ENSG00000143314	216	3	SharedDomain	6		OrthologMitoHighConf	Ortholog	50-75pure	25.0642	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	chr1	156707093	156710923	13	17	115	2.78E+09	73	"cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"	8.5	8.3	8.3	7.6		8.2	8	6.4	8.2	8.4	8.7	7.2	8.9	7.8	
Tmito	3329	15510	HSPD1	CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13|P10809	heat shock 60kDa protein 1 (chaperonin)	ENSG00000144381	573	1	SharedDomain	NA		OrthologMitoHighConf	Homolog	75-100pure	25.0621	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++"	chr2	198351307	198364998	14	78	13912	1.17E+12	94	all 14	10.7	10.3	10.8	10.8	11.3	11.1	10.7	10.6	10.9	10.9	11	10.7	11.2	10.9	"Mitochondria (APE, Supportive)"
